,CRED‑1,CRED‑2,CRED‑3,CRED‑4,CRED‑5,CRED‑6,CRED‑7,CRED‑8,ELEVATE‑1,ELEVATE‑2,ELEVATE‑3,ELEVATE‑4,ELEVATE‑5,EXEC‑1,EXEC‑2,RECON‑1,RECON‑2,RECON‑3,RECON‑4,RECON‑5,RECON‑6,RECON‑7,TAKEOVER‑1,TAKEOVER‑2,TAKEOVER‑3,TAKEOVER‑4,TAKEOVER‑5,TAKEOVER‑6,TAKEOVER‑7,TAKEOVER‑8,TAKEOVER‑9
CANARY‑1,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
DETECT‑1,,,,,,,,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,X,X,
DETECT‑2,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
DETECT‑3,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,
DETECT‑4,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
DETECT‑5,,,,,,,,,,,,,,,,,,,X,X,,,X,X,,X,X,X,X,,
DETECT‑6,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,X,X,X,X,,
DETECT‑7,X,,,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,,
DETECT‑8,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
DETECT‑9,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
PREVENT‑1,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
PREVENT‑2,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
PREVENT‑3,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
PREVENT‑4,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREVENT‑5,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
PREVENT‑6,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
PREVENT‑7,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREVENT‑8,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
PREVENT‑9,,,,,,,,,,,,,,X,X,,,,X,X,,X,,,,,X,,,,
PREVENT‑10,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
PREVENT‑11,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,X,
PREVENT‑12,,,,,,,,,X,X,X,,,,,,,,,,,,,X,,X,,X,X,,
PREVENT‑13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
PREVENT‑14,,,,,,,,X,,,,,,,,,,,,,,,X,,X,,,,,,
PREVENT‑15,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREVENT‑16,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
PREVENT‑17,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
PREVENT‑18,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
PREVENT‑19,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X
PREVENT‑20,,,,,X,X,X,X,X,X,,,,X,X,,X,X,X,X,X,,X,X,X,X,X,X,X,X,
PREVENT‑21,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
PREVENT‑22,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
